Roll No.,Name ,Class,Phone,Mail,AI,ML,DSA,CN,OS,Atteded_days
1,Arjun,B.E,7392846152,arjun@gmail.com,85,78,92,88,76,109
2,Aisha,B.E,5061973824,aisha@gmail.com,70,55,82,95,89,144
3,Rohan,B.E,9128347650,rohan@gmail.com,94,86,79,75,83,125
4,Anaya,B.E,6482190375,anaya@gmail.com,27,72,96,81,67,168
5,Aryan,B.E,3076519824,aryan@gmail.com,76,85,90,93,78,182
6,Naina,B.E,2154986730,naina@gmail.com,89,93,84,77,95,103
7,Vikram,B.E,8093561247,vikram@gmail.com,91,79,88,70,66,157
8,Meera,B.E,3647019825,meera@gmail.com,83,94,75,89,80,198
9,Rajat,B.E,5182940376,rajat@gmail.com,77,85,92,71,87,115
10,Priya,B.E,9267351840,priya@gmail.com,96,78,84,90,76,134
11,Kabir,B.E,7402938175,kabir@gmail.com,82,45,73,96,88,173
12,Diya,B.E,3625189407,diya@gmail.com,91,80,85,77,92,121
13,Ravi,B.E,8902374612,ravi@gmail.com,79,92,88,11,94,199
14,Ishika,B.E,5738102946,ishika@gmail.com,85,76,91,79,83,106
15,Aditya,B.E,1029384756,aditya@gmail.com,93,87,70,82,96,189
16,Anika,B.E,6948201735,anika@gmail.com,78,94,60,88,75,154
17,Rahul,B.E,2487160932,rahul@gmail.com,89,81,96,72,85,112
18,Pooja,B.E,9372051846,pooja@gmail.com,84,97,78,69,91,186
19,Siddharth,B.E,4651029382,siddharth@gmail.com,92,73,87,94,80,143
20,Swara,B.E,8204736915,swara@gmail.com,75,88,91,76,83,195
21,Vivek,B.E,3561820497,vivek@gmail.com,81,90,79,95,55,176
22,Avni,B.E,7192830465,avni@gmail.com,94,79,83,71,89,130
23,Sameer,B.E,5824039176,sameer@gmail.com,86,75,92,68,84,102
24,Riya,B.E,2038174956,riya@gmail.com,39,91,87,77,90,167
25,Yash,B.E,9347158201,yash@gmail.com,98,82,89,74,68,148
26,Ayesha,B.E,4720583619,ayesha@gmail.com,79,93,9,67,88,116
27,Karan,B.E,8192047356,karan@gmail.com,85,76,91,72,79,192
28,Ananya,B.E,3051924876,ananya@gmail.com,92,78,86,69,81,101
29,Deepak,B.E,2763846381,deepak@gmail.com,77,89,80,93,74,179
30,Shruti,B.E,7468927151,shruti@gmail.com,22,85,92,76,71,155
